_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
11654,2015,Shasta,90,Prevention Quality Overall Composite,1631,104057,1567.4,1287.7,,,,,,
11655,2016,Shasta,90,Overall Composite,,,,,"1,927","139,962",1376.8,1160.3,,
11656,2017,Shasta,90,Overall Composite,,,,,"1,926","140,641",1369.4,1148.3,,
11657,2018,Shasta,90,Overall Composite,,,,,"1,693","141,047",1200.3,999.3,,
11658,2019,Shasta,90,Overall Composite,,,,,"1,793","140,906",1272.5,1054.4,,
11659,2020,Shasta,90,Overall Composite,,,,,"1,585","142,219",1114.5,938.6,,
11660,2021,Shasta,90,Overall Composite,,,,,"1,446","142,530",1014.5,853,,
11661,2005,Shasta,91,Prevention Quality Acute Composite,1100,133597,823.4,755.2,,,,,,
11662,2006,Shasta,91,Prevention Quality Acute Composite,1132,134702,840.4,767.5,,,,,,
11663,2007,Shasta,91,Prevention Quality Acute Composite,1172,135409,865.5,783.7,,,,,,
11664,2008,Shasta,91,Prevention Quality Acute Composite,1084,136355,795,714.3,,,,,,
11665,2009,Shasta,91,Prevention Quality Acute Composite,874,137066,637.6,567.3,,,,,,
11666,2010,Shasta,91,Prevention Quality Acute Composite,968,137755,702.7,617.3,,,,,,
11667,2011,Shasta,91,Prevention Quality Acute Composite,1094,138865,787.8,687.2,,,,,,
11668,2012,Shasta,91,Prevention Quality Acute Composite,1028,137373,748.3,633.9,,,,,,
11669,2013,Shasta,91,Prevention Quality Acute Composite,928,138135,671.8,563.6,,,,,,
11670,2014,Shasta,91,Prevention Quality Acute Composite,877,142262,616.5,524.5,,,,,,
11671,2015,Shasta,91,Prevention Quality Acute Composite,611,104057,587.2,478.5,,,,,,
11672,2016,Shasta,91,Acute Composite,,,,,522,"139,962",373,321.6,,
11673,2017,Shasta,91,Acute Composite,,,,,328,"140,641",233.2,200,,
11674,2018,Shasta,91,Acute Composite,,,,,375,"141,047",265.9,225.8,,
11675,2019,Shasta,91,Acute Composite,,,,,411,"140,906",291.7,246.2,,
11676,2020,Shasta,91,Acute Composite,,,,,340,"142,219",239.1,207,,
11677,2021,Shasta,91,Acute Composite,,,,,324,"142,530",227.3,196.2,,
11678,2005,Shasta,92,Prevention Quality Chronic Composite,1338,133597,1001.5,925.8,,,,,,
11679,2006,Shasta,92,Prevention Quality Chronic Composite,1333,134702,989.6,909.9,,,,,,
11680,2007,Shasta,92,Prevention Quality Chronic Composite,1293,135409,954.9,871.3,,,,,,
11681,2008,Shasta,92,Prevention Quality Chronic Composite,1410,136355,1034.1,935.1,,,,,,
11682,2009,Shasta,92,Prevention Quality Chronic Composite,1120,137066,817.1,732,,,,,,
11683,2010,Shasta,92,Prevention Quality Chronic Composite,1365,137755,990.9,878.5,,,,,,
11684,2011,Shasta,92,Prevention Quality Chronic Composite,1399,138865,1007.5,887,,,,,,
11685,2012,Shasta,92,Prevention Quality Chronic Composite,1358,137373,988.5,846.3,,,,,,
11686,2013,Shasta,92,Prevention Quality Chronic Composite,1349,138135,976.6,828.1,,,,,,
11687,2014,Shasta,92,Prevention Quality Chronic Composite,1384,142262,972.9,835.3,,,,,,
11688,2015,Shasta,92,Prevention Quality Chronic Composite,1020,104057,980.2,809.4,,,,,,
11689,2016,Shasta,92,Chronic Composite,,,,,"1,405","139,962",1003.8,840.1,,
11690,2017,Shasta,92,Chronic Composite,,,,,"1,598","140,641",1136.2,946.3,,
11691,2018,Shasta,92,Chronic Composite,,,,,"1,318","141,047",934.4,773.3,,
11692,2019,Shasta,92,Chronic Composite,,,,,"1,382","140,906",980.8,808.2,,
11693,2020,Shasta,92,Chronic Composite,,,,,"1,245","142,219",875.4,731,,
11694,2021,Shasta,92,Chronic Composite,,,,,"1,122","142,530",787.2,656.6,,
11695,2016,Shasta,93,Diabetes Composite,,,,,276,"139,962",197.2,173.6,,
11696,2017,Shasta,93,Diabetes Composite,,,,,317,"140,641",225.4,198.1,,
11697,2018,Shasta,93,Diabetes Composite,,,,,337,"141,047",238.9,209.9,,
11698,2019,Shasta,93,Diabetes Composite,,,,,349,"140,906",247.7,217.4,,
11699,2020,Shasta,93,Diabetes Composite,,,,,312,"142,219",219.4,192.7,,
11700,2021,Shasta,93,Diabetes Composite,,,,,324,"142,530",227.3,199.9,,
11701,2005,Sierra,1,Diabetes Short-term Complications,0,2724,0,0,,,,,,
11702,2006,Sierra,1,Diabetes Short-term Complications,0,2774,0,0,,,,,,
11703,2007,Sierra,1,Diabetes Short-term Complications,1,2756,36.3,39.2,,,,,,
11704,2008,Sierra,1,Diabetes Short-term Complications,1,2742,36.5,39.6,,,,,,
11705,2009,Sierra,1,Diabetes Short-term Complications,2,2687,74.4,81.5,,,,,,
11706,2010,Sierra,1,Diabetes Short-term Complications,3,2692,111.4,122,,,,,,
11707,2011,Sierra,1,Diabetes Short-term Complications,1,2613,38.3,42.5,,,,,,
11708,2012,Sierra,1,Diabetes Short-term Complications,0,4609,0,0,,,,,,
11709,2013,Sierra,1,Diabetes Short-term Complications,2,4566,43.8,36.9,,,,,,
11710,2014,Sierra,1,Diabetes Short-term Complications,0,3692,0,0,,,,,,
11711,2015,Sierra,1,Diabetes Short-term Complications,0,4137,0,0,,,,,,
11712,2016,Sierra,1,Diabetes Short-term Complications,,,,,0,"2,485",0,0,,
11713,2017,Sierra,1,Diabetes Short-term Complications,,,,,0,"2,518",0,0,,
11714,2018,Sierra,1,Diabetes Short-term Complications,,,,,0,"2,471",0,0,,
11715,2019,Sierra,1,Diabetes Short-term Complications,,,,,1,"2,459",40.7,41.6,,
11716,2020,Sierra,1,Diabetes Short-term Complications,,,,,1,"2,675",37.4,38.1,,
11717,2021,Sierra,1,Diabetes Short-term Complications,,,,,0,"2,730",0,0,,
11718,2005,Sierra,2,Perforated Appendix,2,4,50,43.1,,,,,,
11719,2006,Sierra,2,Perforated Appendix,0,2,0,,,,,,,
11720,2007,Sierra,2,Perforated Appendix,0,2,0,,,,,,,
11721,2008,Sierra,2,Perforated Appendix,1,2,50,,,,,,,
11722,2009,Sierra,2,Perforated Appendix,,,,,,,,,,
11723,2010,Sierra,2,Perforated Appendix,1,1,100,,,,,,,
11724,2011,Sierra,2,Perforated Appendix,0,5,0,0,,,,,,
11725,2012,Sierra,2,Perforated Appendix,1,2,50,,,,,,,
11726,2013,Sierra,2,Perforated Appendix,1,2,50,,,,,,,
11727,2014,Sierra,2,Perforated Appendix,0,2,0,,,,,,,
11728,2015,Sierra,2,Perforated Appendix,,,,,,,,,,
11729,2005,Sierra,3,Diabetes Long-term Complications,0,2724,0,0,,,,,,
11730,2006,Sierra,3,Diabetes Long-term Complications,1,2774,36,29.9,,,,,,
11731,2007,Sierra,3,Diabetes Long-term Complications,0,2756,0,0,,,,,,
11732,2008,Sierra,3,Diabetes Long-term Complications,1,2742,36.5,29.5,,,,,,
11733,2009,Sierra,3,Diabetes Long-term Complications,2,2687,74.4,59.2,,,,,,
11734,2010,Sierra,3,Diabetes Long-term Complications,1,2692,37.1,29.5,,,,,,
11735,2011,Sierra,3,Diabetes Long-term Complications,4,2613,153.1,119.3,,,,,,
11736,2012,Sierra,3,Diabetes Long-term Complications,5,4609,108.5,140.4,,,,,,
11737,2013,Sierra,3,Diabetes Long-term Complications,1,4566,21.9,27.9,,,,,,
11738,2014,Sierra,3,Diabetes Long-term Complications,3,3692,81.3,84.7,,,,,,
11739,2015,Sierra,3,Diabetes Long-term Complications,1,4137,24.2,35.9,,,,,,
11740,2016,Sierra,3,Diabetes Long-term Complications,,,,,2,"2,485",80.5,56.8,,
11741,2017,Sierra,3,Diabetes Long-term Complications,,,,,3,"2,518",119.1,84.3,,
11742,2018,Sierra,3,Diabetes Long-term Complications,,,,,1,"2,471",40.5,28.7,,
11743,2019,Sierra,3,Diabetes Long-term Complications,,,,,4,"2,459",162.7,115,,
11744,2020,Sierra,3,Diabetes Long-term Complications,,,,,3,"2,676",112.1,79.1,,
11745,2021,Sierra,3,Diabetes Long-term Complications,,,,,0,"2,730",0,0,,
11746,2005,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,333.2,331.6,,,,,,
11747,2006,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,327.7,327.6,,,,,,
11748,2007,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,328.2,324,,,,,,
11749,2008,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,187.5,182.5,,,,,,
11750,2009,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,477.6,449.5,,,,,,
11751,2010,Sierra,5,COPD or Asthma in Older Adults (Age 40+),12,2116,567.1,538.1,,,,,,
11752,2011,Sierra,5,COPD or Asthma in Older Adults (Age 40+),11,2064,532.9,490.3,,,,,,
11753,2012,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,245.3,219.5,,,,,,
11754,2013,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,247.4,214.9,,,,,,
11755,2014,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,47.8,43,,,,,,
11756,2015,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,267.4,220.5,,,,,,
11757,2016,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,14,"1,966",712.1,589.9,,
11758,2017,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,251.4,207,1,Cell suppressed for small numbers
11759,2018,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,206.7,166.8,1,Cell suppressed for small numbers
11760,2019,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,206.2,166.1,1,Cell suppressed for small numbers
11761,2020,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,379.7,309.9,1,Cell suppressed for small numbers
11762,2021,Sierra,5,COPD or Asthma in Older Adults (Age 40+),,,,,,,140.1,114.2,1,Cell suppressed for small numbers
11763,2005,Sierra,7,Hypertension,0,2724,0,0,,,,,,
11764,2006,Sierra,7,Hypertension,0,2774,0,0,,,,,,
11765,2007,Sierra,7,Hypertension,0,2756,0,0,,,,,,
11766,2008,Sierra,7,Hypertension,1,2742,36.5,31,,,,,,
11767,2009,Sierra,7,Hypertension,2,2687,74.4,62.1,,,,,,
11768,2010,Sierra,7,Hypertension,1,2692,37.1,30.9,,,,,,
11769,2011,Sierra,7,Hypertension,0,2613,0,0,,,,,,
11770,2012,Sierra,7,Hypertension,1,4609,21.7,30.4,,,,,,
11771,2013,Sierra,7,Hypertension,0,4566,0,0,,,,,,
11772,2014,Sierra,7,Hypertension,0,3692,0,0,,,,,,
11773,2015,Sierra,7,Hypertension,0,4137,0,0,,,,,,
11774,2016,Sierra,7,Hypertension,,,,,0,"2,485",0,0,,
11775,2017,Sierra,7,Hypertension,,,,,1,"2,518",39.7,28.7,,
11776,2018,Sierra,7,Hypertension,,,,,0,"2,471",0,0,,
11777,2019,Sierra,7,Hypertension,,,,,1,"2,459",40.7,28.9,,
11778,2020,Sierra,7,Hypertension,,,,,0,"2,675",0,0,,
11779,2021,Sierra,7,Hypertension,,,,,0,"2,730",0,0,,
11780,2005,Sierra,8,Heart Failure,6,2724,220.3,174.8,,,,,,
11781,2006,Sierra,8,Heart Failure,2,2774,72.1,58.5,,,,,,
11782,2007,Sierra,8,Heart Failure,10,2756,362.8,293.6,,,,,,
11783,2008,Sierra,8,Heart Failure,6,2742,218.8,177.2,,,,,,
11784,2009,Sierra,8,Heart Failure,5,2687,186.1,144.4,,,,,,
11785,2010,Sierra,8,Heart Failure,9,2692,334.3,260.7,,,,,,
11786,2011,Sierra,8,Heart Failure,6,2613,229.6,176,,,,,,
11787,2012,Sierra,8,Heart Failure,2,4609,43.4,55.5,,,,,,
11788,2013,Sierra,8,Heart Failure,4,4566,87.6,108.2,,,,,,
11789,2014,Sierra,8,Heart Failure,1,3692,27.1,28.2,,,,,,
11790,2015,Sierra,8,Heart Failure,0,4137,0,0,,,,,,
11791,2016,Sierra,8,Heart Failure,,,,,2,"2,485",80.5,53,,
11792,2017,Sierra,8,Heart Failure,,,,,8,"2,518",317.7,205,,
11793,2018,Sierra,8,Heart Failure,,,,,1,"2,471",40.5,25.9,,
11794,2019,Sierra,8,Heart Failure,,,,,3,"2,459",122,75.9,,
11795,2020,Sierra,8,Heart Failure,,,,,1,"2,675",37.4,24,,
11796,2021,Sierra,8,Heart Failure,,,,,1,"2,730",36.6,23.5,,
11797,2005,Sierra,10,Dehydration,4,2724,146.8,122.1,,,,,,
11798,2006,Sierra,10,Dehydration,3,2774,108.1,91.7,,,,,,
11799,2007,Sierra,10,Dehydration,1,2756,36.3,30.6,,,,,,
11800,2008,Sierra,10,Dehydration,1,2742,36.5,30.8,,,,,,
11801,2009,Sierra,10,Dehydration,6,2687,223.3,181.7,,,,,,
11802,2010,Sierra,10,Dehydration,1,2692,37.1,30.3,,,,,,
11803,2011,Sierra,10,Dehydration,5,2613,191.4,153.3,,,,,,
11804,2012,Sierra,10,Dehydration,0,4609,0,0,,,,,,
11805,2013,Sierra,10,Dehydration,1,4566,21.9,26.3,,,,,,
11806,2014,Sierra,10,Dehydration,2,3692,54.2,56.5,,,,,,
11807,2015,Sierra,10,Dehydration,0,4137,0,0,,,,,,
11808,2005,Sierra,11,Community-Acquired Pneumonia,8,2725,293.6,239.4,,,,,,
11809,2006,Sierra,11,Community-Acquired Pneumonia,12,2774,432.6,360.1,,,,,,
11810,2007,Sierra,11,Community-Acquired Pneumonia,7,2756,254,210.8,,,,,,
11811,2008,Sierra,11,Community-Acquired Pneumonia,6,2742,218.8,181.3,,,,,,
11812,2009,Sierra,11,Community-Acquired Pneumonia,8,2687,297.7,237.5,,,,,,
11813,2010,Sierra,11,Community-Acquired Pneumonia,5,2692,185.7,148.7,,,,,,
11814,2011,Sierra,11,Community-Acquired Pneumonia,8,2613,306.2,241.1,,,,,,
11815,2012,Sierra,11,Community-Acquired Pneumonia,10,4609,217,269.8,,,,,,
11816,2013,Sierra,11,Community-Acquired Pneumonia,6,4566,131.4,158.4,,,,,,
11817,2014,Sierra,11,Community-Acquired Pneumonia,6,3692,162.5,168.7,,,,,,
11818,2015,Sierra,11,Community-Acquired Pneumonia,6,4137,145,197.2,,,,,,
11819,2016,Sierra,11,Community-Acquired Pneumonia,,,,,6,"2,485",241.4,167.8,,
11820,2017,Sierra,11,Community-Acquired Pneumonia,,,,,3,"2,518",119.1,81.2,,
11821,2018,Sierra,11,Community-Acquired Pneumonia,,,,,10,"2,471",404.7,272.9,,
11822,2019,Sierra,11,Community-Acquired Pneumonia,,,,,6,"2,459",244,160.1,,
11823,2020,Sierra,11,Community-Acquired Pneumonia,,,,,4,"2,675",149.5,101.2,,
11824,2021,Sierra,11,Community-Acquired Pneumonia,,,,,1,"2,730",36.6,24.7,,
11825,2005,Sierra,12,Urinary Tract Infection,3,2724,110.1,96.5,,,,,,
11826,2006,Sierra,12,Urinary Tract Infection,3,2774,108.1,97.5,,,,,,
11827,2007,Sierra,12,Urinary Tract Infection,2,2756,72.6,65.5,,,,,,
11828,2008,Sierra,12,Urinary Tract Infection,7,2742,255.3,235.7,,,,,,
11829,2009,Sierra,12,Urinary Tract Infection,5,2687,186.1,164.8,,,,,,
11830,2010,Sierra,12,Urinary Tract Infection,3,2692,111.4,98.7,,,,,,
11831,2011,Sierra,12,Urinary Tract Infection,5,2613,191.4,167.9,,,,,,
11832,2012,Sierra,12,Urinary Tract Infection,6,4609,130.2,161.1,,,,,,
11833,2013,Sierra,12,Urinary Tract Infection,6,4566,131.4,159.3,,,,,,
11834,2014,Sierra,12,Urinary Tract Infection,8,3692,216.7,240,,,,,,
11835,2015,Sierra,12,Urinary Tract Infection,1,4137,24.2,31.6,,,,,,
11836,2016,Sierra,12,Urinary Tract Infection,,,,,2,"2,485",80.5,60.7,,
11837,2017,Sierra,12,Urinary Tract Infection,,,,,2,"2,518",79.4,57.9,,
11838,2018,Sierra,12,Urinary Tract Infection,,,,,1,"2,471",40.5,29.3,,
11839,2019,Sierra,12,Urinary Tract Infection,,,,,5,"2,459",203.3,141.6,,
11840,2020,Sierra,12,Urinary Tract Infection,,,,,3,"2,675",112.1,82.3,,
11841,2021,Sierra,12,Urinary Tract Infection,,,,,1,"2,730",36.6,26.9,,
11842,2005,Sierra,13,Angina without Procedure,1,2724,36.7,29.7,,,,,,
11843,2006,Sierra,13,Angina without Procedure,1,2774,36,29.2,,,,,,
11844,2007,Sierra,13,Angina without Procedure,1,2756,36.3,29,,,,,,
11845,2008,Sierra,13,Angina without Procedure,1,2742,36.5,28.8,,,,,,
11846,2009,Sierra,13,Angina without Procedure,0,2687,0,0,,,,,,
11847,2010,Sierra,13,Angina without Procedure,1,2692,37.1,28.7,,,,,,
11848,2011,Sierra,13,Angina without Procedure,0,2613,0,0,,,,,,
11849,2012,Sierra,13,Angina without Procedure,1,4609,21.7,28.6,,,,,,
11850,2013,Sierra,13,Angina without Procedure,0,4566,0,0,,,,,,
11851,2014,Sierra,13,Angina without Procedure,0,3692,0,0,,,,,,
11852,2015,Sierra,13,Angina without Procedure,0,4137,0,0,,,,,,
11853,2005,Sierra,14,Uncontrolled Diabetes,0,2724,0,0,,,,,,
11854,2006,Sierra,14,Uncontrolled Diabetes,0,2774,0,0,,,,,,
11855,2007,Sierra,14,Uncontrolled Diabetes,1,2756,36.3,31.4,,,,,,
11856,2008,Sierra,14,Uncontrolled Diabetes,0,2742,0,0,,,,,,
11857,2009,Sierra,14,Uncontrolled Diabetes,0,2687,0,0,,,,,,
11858,2010,Sierra,14,Uncontrolled Diabetes,0,2692,0,0,,,,,,
11859,2011,Sierra,14,Uncontrolled Diabetes,1,2613,38.3,32.1,,,,,,
11860,2012,Sierra,14,Uncontrolled Diabetes,1,4609,21.7,27.2,,,,,,
11861,2013,Sierra,14,Uncontrolled Diabetes,0,4566,0,0,,,,,,
11862,2014,Sierra,14,Uncontrolled Diabetes,0,3692,0,0,,,,,,
11863,2015,Sierra,14,Uncontrolled Diabetes,0,4137,0,0,,,,,,
11864,2016,Sierra,14,Uncontrolled Diabetes,,,,,1,"2,485",40.2,27.6,,
11865,2017,Sierra,14,Uncontrolled Diabetes,,,,,0,"2,518",0,0,,
11866,2018,Sierra,14,Uncontrolled Diabetes,,,,,2,"2,471",80.9,54.8,,
11867,2019,Sierra,14,Uncontrolled Diabetes,,,,,0,"2,459",0,0,,
11868,2020,Sierra,14,Uncontrolled Diabetes,,,,,0,"2,675",0,0,,
11869,2021,Sierra,14,Uncontrolled Diabetes,,,,,0,"2,730",0,0,,
11870,2005,Sierra,15,Asthma in Younger Adults (Age 18-39),0,623,0,0,,,,,,
11871,2006,Sierra,15,Asthma in Younger Adults (Age 18-39),,,940.4,920.6,,,,,,
11872,2007,Sierra,15,Asthma in Younger Adults (Age 18-39),,,321,306.3,,,,,,
11873,2008,Sierra,15,Asthma in Younger Adults (Age 18-39),0,609,0,0,,,,,,
11874,2009,Sierra,15,Asthma in Younger Adults (Age 18-39),0,593,0,0,,,,,,
11875,2010,Sierra,15,Asthma in Younger Adults (Age 18-39),0,576,0,0,,,,,,
11876,2011,Sierra,15,Asthma in Younger Adults (Age 18-39),,,364.3,357.8,,,,,,
11877,2012,Sierra,15,Asthma in Younger Adults (Age 18-39),,,38.9,46.7,,,,,,
11878,2013,Sierra,15,Asthma in Younger Adults (Age 18-39),0,2545,0,0,,,,,,
11879,2014,Sierra,15,Asthma in Younger Adults (Age 18-39),0,1599,0,0,,,,,,
11880,2015,Sierra,15,Asthma in Younger Adults (Age 18-39),0,2641,0,0,,,,,,
11881,2016,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,519,0,0,,
11882,2017,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,529,0,0,,
11883,2018,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,536,0,0,,
11884,2019,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,519,0,0,,
11885,2020,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,568,0,0,,
11886,2021,Sierra,15,Asthma in Younger Adults (Age 18-39),,,,,0,588,0,0,,
11887,2005,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2724,0,0,,,,,,
11888,2006,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2774,0,0,,,,,,
11889,2007,Sierra,16,Lower-Extremity Amputation (Diabetes),1,2756,36.3,27.6,,,,,,
11890,2008,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2742,0,0,,,,,,
11891,2009,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2687,0,0,,,,,,
11892,2010,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2692,0,0,,,,,,
11893,2011,Sierra,16,Lower-Extremity Amputation (Diabetes),0,2613,0,0,,,,,,
11894,2012,Sierra,16,Lower-Extremity Amputation (Diabetes),0,4609,0,0,,,,,,
11895,2013,Sierra,16,Lower-Extremity Amputation (Diabetes),0,4566,0,0,,,,,,
11896,2014,Sierra,16,Lower-Extremity Amputation (Diabetes),2,3692,54.2,51.5,,,,,,
11897,2015,Sierra,16,Lower-Extremity Amputation (Diabetes),2,4137,48.3,67.9,,,,,,
11898,2016,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,1,"2,485",40.2,27.8,,
11899,2017,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,0,"2,518",0,0,,
11900,2018,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,0,"2,471",0,0,,
11901,2019,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,0,"2,459",0,0,,
11902,2020,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,0,"2,675",0,0,,
11903,2021,Sierra,16,Lower-Extremity Amputation (Diabetes),,,,,0,"2,730",0,0,,
11904,2005,Sierra,90,Prevention Quality Overall Composite,29,2725,1064.2,884.3,,,,,,
11905,2006,Sierra,90,Prevention Quality Overall Composite,35,2774,1261.7,1064.3,,,,,,
11906,2007,Sierra,90,Prevention Quality Overall Composite,33,2756,1197.4,1003.3,,,,,,
11907,2008,Sierra,90,Prevention Quality Overall Composite,28,2742,1021.2,853.2,,,,,,
11908,2009,Sierra,90,Prevention Quality Overall Composite,40,2687,1488.6,1202.3,,,,,,
11909,2010,Sierra,90,Prevention Quality Overall Composite,36,2692,1337.3,1082.2,,,,,,
11910,2011,Sierra,90,Prevention Quality Overall Composite,43,2613,1645.6,1305.6,,,,,,
11911,2012,Sierra,90,Prevention Quality Overall Composite,32,4609,694.3,851.2,,,,,,
11912,2013,Sierra,90,Prevention Quality Overall Composite,25,4566,547.5,654.5,,,,,,
11913,2014,Sierra,90,Prevention Quality Overall Composite,22,3692,595.9,614.7,,,,,,
11914,2015,Sierra,90,Prevention Quality Overall Composite,13,4137,314.2,420.1,,,,,,
11915,2016,Sierra,90,Overall Composite,,,,,28,"2,485",1126.8,785,,
11916,2017,Sierra,90,Overall Composite,,,,,22,"2,518",873.7,600,,
11917,2018,Sierra,90,Overall Composite,,,,,19,"2,471",768.9,524.1,,
11918,2019,Sierra,90,Overall Composite,,,,,24,"2,459",976,651.7,,
11919,2020,Sierra,90,Overall Composite,,,,,20,"2,676",747.4,511.4,,
11920,2021,Sierra,90,Overall Composite,,,,,,,219.8,150.5,1,Cell suppressed for small numbers
11921,2005,Sierra,91,Prevention Quality Acute Composite,15,2725,550.5,460.7,,,,,,
11922,2006,Sierra,91,Prevention Quality Acute Composite,18,2774,648.9,555.2,,,,,,
11923,2007,Sierra,91,Prevention Quality Acute Composite,10,2756,362.8,309.8,,,,,,
11924,2008,Sierra,91,Prevention Quality Acute Composite,14,2742,510.6,438.4,,,,,,
11925,2009,Sierra,91,Prevention Quality Acute Composite,19,2687,707.1,584.1,,,,,,
11926,2010,Sierra,91,Prevention Quality Acute Composite,9,2692,334.3,276.9,,,,,,
11927,2011,Sierra,91,Prevention Quality Acute Composite,18,2613,688.9,562,,,,,,
11928,2012,Sierra,91,Prevention Quality Acute Composite,16,4609,347.1,430.2,,,,,,
11929,2013,Sierra,91,Prevention Quality Acute Composite,13,4566,284.7,343.3,,,,,,
11930,2014,Sierra,91,Prevention Quality Acute Composite,16,3692,433.4,459,,,,,,
11931,2015,Sierra,91,Prevention Quality Acute Composite,7,4137,169.2,226.5,,,,,,
11932,2016,Sierra,91,Acute Composite,,,,,8,"2,485",321.9,231.5,,
11933,2017,Sierra,91,Acute Composite,,,,,5,"2,518",198.6,139.2,,
11934,2018,Sierra,91,Acute Composite,,,,,11,"2,471",445.2,309.2,,
11935,2019,Sierra,91,Acute Composite,,,,,11,"2,459",447.3,300.9,,
11936,2020,Sierra,91,Acute Composite,,,,,7,"2,675",261.7,183.2,,
11937,2021,Sierra,91,Acute Composite,,,,,2,"2,730",73.3,51.3,,
11938,2005,Sierra,92,Prevention Quality Chronic Composite,14,2724,514,425.1,,,,,,
11939,2006,Sierra,92,Prevention Quality Chronic Composite,17,2774,612.8,512.4,,,,,,
11940,2007,Sierra,92,Prevention Quality Chronic Composite,23,2756,834.5,691.3,,,,,,
11941,2008,Sierra,92,Prevention Quality Chronic Composite,14,2742,510.6,419.5,,,,,,
11942,2009,Sierra,92,Prevention Quality Chronic Composite,21,2687,781.5,622.5,,,,,,
11943,2010,Sierra,92,Prevention Quality Chronic Composite,27,2692,1003,800.1,,,,,,
11944,2011,Sierra,92,Prevention Quality Chronic Composite,25,2613,956.8,746.2,,,,,,
11945,2012,Sierra,92,Prevention Quality Chronic Composite,16,4609,347.1,422.8,,,,,,
11946,2013,Sierra,92,Prevention Quality Chronic Composite,12,4566,262.8,312.5,,,,,,
11947,2014,Sierra,92,Prevention Quality Chronic Composite,6,3692,162.5,165,,,,,,
11948,2015,Sierra,92,Prevention Quality Chronic Composite,6,4137,145,193.7,,,,,,
11949,2016,Sierra,92,Chronic Composite,,,,,20,"2,485",804.8,555.4,,
11950,2017,Sierra,92,Chronic Composite,,,,,17,"2,518",675.1,460.8,,
11951,2018,Sierra,92,Chronic Composite,,,,,,,323.8,219.4,1,Cell suppressed for small numbers
11952,2019,Sierra,92,Chronic Composite,,,,,13,"2,459",528.7,352.3,,
11953,2020,Sierra,92,Chronic Composite,,,,,13,"2,676",485.8,330.1,,
11954,2021,Sierra,92,Chronic Composite,,,,,,,146.5,99.7,1,Cell suppressed for small numbers
11955,2016,Sierra,93,Diabetes Composite,,,,,4,"2,485",161,124.6,,
11956,2017,Sierra,93,Diabetes Composite,,,,,3,"2,518",119.1,92.4,,
11957,2018,Sierra,93,Diabetes Composite,,,,,3,"2,471",121.4,94.3,,
11958,2019,Sierra,93,Diabetes Composite,,,,,5,"2,459",203.3,157.6,,
11959,2020,Sierra,93,Diabetes Composite,,,,,4,"2,676",149.5,115.8,,
11960,2021,Sierra,93,Diabetes Composite,,,,,0,"2,730",0,0,,
11961,2005,Siskiyou,1,Diabetes Short-term Complications,24,35143,68.3,71.9,,,,,,
11962,2006,Siskiyou,1,Diabetes Short-term Complications,15,35080,42.8,45.2,,,,,,
11963,2007,Siskiyou,1,Diabetes Short-term Complications,23,35195,65.4,69.4,,,,,,
11964,2008,Siskiyou,1,Diabetes Short-term Complications,19,35541,53.5,56.9,,,,,,
11965,2009,Siskiyou,1,Diabetes Short-term Complications,29,35511,81.7,87.3,,,,,,
11966,2010,Siskiyou,1,Diabetes Short-term Complications,22,35719,61.6,65.9,,,,,,
11967,2011,Siskiyou,1,Diabetes Short-term Complications,20,35459,56.4,60.7,,,,,,
11968,2012,Siskiyou,1,Diabetes Short-term Complications,31,36324,85.3,90.2,,,,,,
11969,2013,Siskiyou,1,Diabetes Short-term Complications,31,36015,86.1,91.5,,,,,,
